accuracy,f1,auroc,auprc,n_patients,n_pos_patients,n_neg_patients,n_heterogeneous_patients,model,scheme,split,n_val_cells,hyperparams
0.8125,0.7895833333333333,0.8401206636500754,0.628970703749909,64,13,51,8,scMeta-SAGE,5foldCV,fold3,80570,"conv=SAGEConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
1.0,1.0,,,15,0,15,0,scMeta-Tran,LOOCV,GSE132465,9363,"conv=TransformerConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.9310344827586208,0.9642857142857144,,,29,0,29,0,Elastic Net,LOOCV,Leader_Merad_2021,4365,"{'C': 0.1, 'penalty': 'elasticnet', 'l1_ratio': 0.5, 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
0.2,0.0666666666666666,1.0,1.0,5,4,1,1,scMeta-GAT,LOOCV,2100-Ovariancancer,12994,"conv=GATConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.7777777777777778,0.875,,,9,0,9,0,scMeta-Tran,LOOCV,Laughney_Massague_2020,1390,"conv=TransformerConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
1.0,1.0,,,8,0,8,0,SGD,LOOCV,Lambrechts_Thienpont_2018,6789,"{'loss': 'log_loss', 'alpha': 0.001, 'penalty': 'l2', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,29,0,29,0,SGD,LOOCV,Leader_Merad_2021,4365,"{'loss': 'log_loss', 'alpha': 0.001, 'penalty': 'l2', 'max_iter': 1000, 'random_state': 42}"
0.3170731707317073,0.3268759481853192,0.3384615384615385,0.5624744274039644,41,26,15,31,Logistic Regression,LOOCV,MSK_SPECTRUM,198901,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
0.5714285714285714,0.4155844155844156,0.5,0.4285714285714285,7,3,4,2,Random Forest,LOOCV,Maynard_Bivona_2020,944,"{'n_estimators': 300, 'max_depth': None, 'random_state': 42, 'n_jobs': 4}"
1.0,1.0,,,12,0,12,0,scMeta-SAGE,LOOCV,2102-Breastcancer,13604,"conv=SAGEConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
1.0,1.0,,,7,0,7,0,scMeta-Tran,LOOCV,2098-Colorectalcancer,8874,"conv=TransformerConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.873015873015873,0.8612580834803057,0.8321678321678322,0.5460714978123102,63,11,52,8,SGD,5foldCV,fold4,73243,"{'loss': 'log_loss', 'alpha': 0.001, 'penalty': 'l2', 'max_iter': 1000, 'random_state': 42}"
0.375,0.2045454545454545,0.8666666666666667,0.9266666666666666,8,5,3,7,scMeta-SAGE,LOOCV,GSE167036,1036,"conv=SAGEConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.8412698412698413,0.8158369408369408,0.8374125874125874,0.5651875901875902,63,11,52,8,Random Forest,5foldCV,fold4,73243,"{'n_estimators': 300, 'max_depth': None, 'random_state': 42, 'n_jobs': 4}"
1.0,1.0,,,5,0,5,0,scMeta-SAGE,LOOCV,GSE225857,9877,"conv=SAGEConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.7916666666666666,0.7299651567944251,0.5185185185185185,0.4236772486772486,24,6,18,2,Elastic Net,LOOCV,HTAN_MSK_SCLC,38217,"{'C': 0.1, 'penalty': 'elasticnet', 'l1_ratio': 0.5, 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
0.4,0.2285714285714285,0.8333333333333333,0.9166666666666664,5,3,2,0,scMeta-GAT,LOOCV,Multi_modal_breast_cancer,6867,"conv=GATConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
1.0,1.0,,,6,0,6,0,Random Forest,LOOCV,Zilionis_Klein_2019,1924,"{'n_estimators': 300, 'max_depth': None, 'random_state': 42, 'n_jobs': 4}"
0.796875,0.7816971383147854,0.7740740740740741,0.4759751671986624,64,10,54,10,Elastic Net,5foldCV,fold1,113629,"{'C': 0.1, 'penalty': 'elasticnet', 'l1_ratio': 0.5, 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
0.7777777777777778,0.875,,,9,0,9,0,Elastic Net,LOOCV,Laughney_Massague_2020,1390,"{'C': 0.1, 'penalty': 'elasticnet', 'l1_ratio': 0.5, 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,8,0,8,0,scMeta-Tran,LOOCV,2096-Lungcancer,10596,"conv=TransformerConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.75,0.7083333333333334,0.6592592592592592,0.6361305361305362,24,9,15,0,scMeta-Tran,LOOCV,Kim_Lee_2020,7783,"conv=TransformerConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
1.0,1.0,,,42,0,42,0,scMeta-GAT,LOOCV,Single_cell_map_anti-PD1,60590,"conv=GATConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.8095238095238095,0.8095238095238095,0.7902097902097903,0.4930325664921301,63,11,52,8,scMeta-GAT,5foldCV,fold4,73243,"conv=GATConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.25,0.4,,,4,0,4,0,SGD,LOOCV,GSE173682,4333,"{'loss': 'log_loss', 'alpha': 0.001, 'penalty': 'l2', 'max_iter': 1000, 'random_state': 42}"
1.0,1.0,,,8,0,8,0,scMeta-GAT,LOOCV,2096-Lungcancer,10596,"conv=GATConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
1.0,1.0,,,8,0,8,0,Logistic Regression,LOOCV,Lambrechts_Thienpont_2018,6789,"{'C': 1, 'penalty': 'l1', 'solver': 'saga', 'max_iter': 1000, 'random_state': 42}"
0.7647058823529411,0.8666666666666667,,,17,0,17,0,scMeta-GAT,LOOCV,UKIM-V,5882,"conv=GATConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
0.890625,0.8882484307098021,0.8462962962962962,0.5368804112554113,64,10,54,10,scMeta-Tran,5foldCV,fold1,113629,"conv=TransformerConv,hidden_dim=256,heads=4,dropout=0.3,tau=0.7,gamma=0.5,lr=0.0001,epochs=100,patience=15,eval=NeighborLoader[25,25]"
1.0,1.0,,,5,0,5,0,Random Forest,LOOCV,GSE225857,9877,"{'n_estimators': 300, 'max_depth': None, 'random_state': 42, 'n_jobs': 4}"
